Brand,Model,Model_Description,Price,Engine_Size
Suzuki,S-Presso,1.0 GL,162900.0,1.0
Suzuki,S-Presso,1.0 GL+,169900.0,1.0
Suzuki,Celerio,1.0 GA,178900.0,1.0
Renault,Kwid,1.0 Life,180999.0,1.0
Suzuki,S-Presso,1.0 S-Edition,185900.0,1.0
Renault,Kwid,1.0 Zen,190999.0,1.0
Suzuki,DZire,1.2 GA,193900.0,1.2
Suzuki,Swift,1.2 GA,194900.0,1.2
Suzuki,Celerio,1.0 GL,198900.0,1.0
Suzuki,S-Presso,1.0 S-Edition,199900.0,1.0
Toyota,Agya,1.0,200000.0,1.0
Renault,Kwid,1.0 Climber,201999.0,1.0
Kia,Picanto,1.0 Start,209995.0,1.0
Suzuki,DZire,1.2 GL,211900.0,1.2
Suzuki,Swift,1.2 GL,212900.0,1.2
Hyundai,Grand,i10 1.0 Motion,214900.0,1.0
Kia,Picanto,1.0 Start,223995.0,1.0
Honda,Amaze,1.2 Trend,231200.0,1.2
Suzuki,Baleno,1.5 GL,231900.0,1.5
Suzuki,Swift,1.2 GLX,232900.0,1.2
Kia,Picanto,1.2 Street,232995.0,1.2
Toyota,Starlet,1.5 Xi,233000.0,1.5
Kia,Picanto,1.0 Style,233995.0,1.0
Kia,Picanto,1.2 Style,242995.0,1.2
Toyota,Starlet,1.5 XS,246300.0,1.5
Hyundai,Grand,i10 1.0 Fluid,246900.0,1.0
Volkswagen,Polo Vivo,1.4 Trendline,247300.0,1.4
Honda,Amaze,1.2 Comfort,247800.0,1.2
Kia,Pegas,1.4 LX,254995.0,1.4
Suzuki,Ciaz,1.5 GL,256900.0,1.5
Kia,Picanto,1.2 X-Line,259995.0,1.2
Hyundai,Grand,i10 1.2 Fluid,261900.0,1.2
Kia,Pegas,1.4 EX,265995.0,1.4
Volkswagen,Polo Vivo,1.4 Comfortline,266900.0,1.4
Suzuki,Vitara Brezza,1.5 GL S-Edition,281900.0,1.5
Hyundai,Grand,i10 1.2 Fluid,291900.0,1.2
Toyota,Starlet,1.5 XR,294900.0,1.5
